,date,cases_new_per_million,deaths_new_per_million,tests_new_per_thousand,hospitalized_current,hospitalized_cumulative,hospitalized_new,discharged_new,discharged_cumulative,icu_current,icu_cumulative,ventilator_current,wildcard,stringency_index,government_response_index,containment_health_index,economic_support_index
0,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-27,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.950000000000006,31.85,0.0
4,2020-02-03,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12,34.63,40.93,0.0
5,2020-02-10,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.92,53.83,63.63000000000001,0.0
6,2020-02-17,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.92,53.83,63.63000000000001,0.0
7,2020-02-24,0.06000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.92,53.83,63.63000000000001,0.0
8,2020-03-02,0.162,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.24,69.86999999999999,82.57000000000002,0.0
9,2020-03-09,1.4049999999999998,0.057000000000000016,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.07000000000002,146.17000000000004,172.72,0.0
10,2020-03-16,9.727,0.14400000000000002,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.47000000000003,230.78,272.73,0.0
11,2020-03-23,94.96,1.214,1.2409999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.51,400.96,473.87000000000006,0.0
12,2020-03-30,325.735,6.157,2.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,471.46,511.77,250.0
13,2020-04-06,587.942,21.563000000000002,2.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,500.29000000000013,511.77,437.5
14,2020-04-13,664.454,37.64699999999999,3.8489999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,500.29000000000013,511.77,437.5
15,2020-04-20,610.618,56.115,3.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,500.29000000000013,511.77,437.5
16,2020-04-27,623.0260000000002,42.881,4.651999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,500.29000000000013,511.77,437.5
17,2020-05-04,580.4519999999999,38.689,5.497000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,500.29000000000013,511.77,437.5
18,2020-05-11,518.9019999999999,35.788000000000004,6.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.83,500.29000000000013,511.77,437.5
